epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.77,0.67231,2.55958,1.22199,0.53097,0.46633,0.47574,0.38089,0.73023,1.78147,1.26945,0.0701422,0.00331754,0.00331754
2,570.57,0.67274,1.56431,1.19902,0.53346,0.40086,0.41035,0.31484,0.88881,2.04289,1.46078,0.0400105,0.00651918,0.00651918
3,852.703,0.77897,1.69267,1.27482,0.27988,0.24267,0.12418,0.0712,1.46309,3.57814,2.14708,0.00974681,0.00958883,0.00958883
4,1135.17,0.93494,1.98916,1.3973,0.23506,0.14984,0.07246,0.04254,1.79808,3.81894,2.57116,0.009406,0.009406,0.009406
5,1417.33,0.91467,1.92348,1.37036,0.51546,0.34876,0.33439,0.23533,1.12193,2.35895,1.72726,0.009208,0.009208,0.009208
6,1700.06,0.86795,1.79611,1.33729,0.46996,0.44165,0.40885,0.29628,1.07602,2.04925,1.62487,0.00901,0.00901,0.00901
7,1982.17,0.83438,1.71933,1.30759,0.57871,0.36852,0.40468,0.28988,1.08847,2.02808,1.70572,0.008812,0.008812,0.008812
8,2264.82,0.81238,1.63799,1.29305,0.67431,0.4471,0.49184,0.38452,0.86154,1.70745,1.40099,0.008614,0.008614,0.008614
9,2547.17,0.78228,1.55195,1.27973,0.46579,0.51231,0.47837,0.36812,0.85893,1.81034,1.37963,0.008416,0.008416,0.008416
10,2829.73,0.76706,1.49576,1.25902,0.671,0.5057,0.56236,0.45052,0.80309,1.48704,1.34033,0.008218,0.008218,0.008218
11,3111.97,0.75118,1.44989,1.2521,0.66257,0.50277,0.56652,0.44578,0.82494,1.49456,1.34577,0.00802,0.00802,0.00802
12,3394.46,0.72218,1.38901,1.22964,0.56808,0.47547,0.51712,0.40211,0.84192,1.66085,1.36667,0.007822,0.007822,0.007822
13,3676.48,0.71384,1.36073,1.22756,0.6628,0.55506,0.59993,0.48513,0.75027,1.37418,1.28496,0.007624,0.007624,0.007624
14,3962.36,0.69592,1.3157,1.21336,0.6612,0.5456,0.59742,0.48176,0.74462,1.40412,1.27003,0.007426,0.007426,0.007426
15,4247.71,0.68613,1.3,1.20512,0.71017,0.54393,0.61418,0.49668,0.7356,1.28884,1.27043,0.007228,0.007228,0.007228
16,4530.75,0.67961,1.26019,1.19742,0.72233,0.55857,0.65089,0.5322,0.693,1.23869,1.23295,0.00703,0.00703,0.00703
17,4813.54,0.67123,1.2197,1.19313,0.75077,0.57389,0.65289,0.53966,0.69174,1.21962,1.21379,0.006832,0.006832,0.006832
18,5096.49,0.65652,1.18055,1.18346,0.67662,0.59537,0.64954,0.54239,0.66939,1.21452,1.19903,0.006634,0.006634,0.006634
19,5379.05,0.65531,1.14175,1.17918,0.76833,0.55239,0.64533,0.5331,0.70973,1.28258,1.23638,0.006436,0.006436,0.006436
20,5661.91,0.63933,1.12098,1.1686,0.72843,0.58393,0.66552,0.54663,0.70313,1.19901,1.23701,0.006238,0.006238,0.006238
21,5944.67,0.63283,1.09701,1.16753,0.71513,0.61657,0.68581,0.57346,0.65732,1.13924,1.19577,0.00604,0.00604,0.00604
22,6227.08,0.61707,1.0681,1.15417,0.72497,0.64327,0.68872,0.57844,0.633,1.08452,1.1669,0.005842,0.005842,0.005842
23,6511.05,0.60571,1.04463,1.14781,0.72676,0.64506,0.70188,0.58897,0.65592,1.05423,1.19039,0.005644,0.005644,0.005644
24,6794.59,0.60501,1.01642,1.14555,0.72765,0.61584,0.69203,0.58501,0.64755,1.08143,1.17847,0.005446,0.005446,0.005446
25,7077.34,0.59479,0.98078,1.13653,0.78044,0.62469,0.72009,0.61373,0.62735,1.01487,1.1571,0.005248,0.005248,0.005248
26,7360.86,0.59025,0.96636,1.13228,0.77565,0.6412,0.72486,0.6173,0.60967,1.004,1.14167,0.00505,0.00505,0.00505
27,7643.43,0.57498,0.9239,1.1274,0.76194,0.65392,0.72088,0.61255,0.61008,1.01018,1.14085,0.004852,0.004852,0.004852
28,7926.1,0.57734,0.91911,1.12111,0.76271,0.64332,0.72376,0.61657,0.61699,0.9977,1.14626,0.004654,0.004654,0.004654
29,8208.69,0.56254,0.90147,1.11266,0.80936,0.63445,0.7317,0.628,0.60749,0.96091,1.14016,0.004456,0.004456,0.004456
30,8491.55,0.55651,0.87818,1.11226,0.75938,0.65491,0.72867,0.62531,0.59289,0.98289,1.12616,0.004258,0.004258,0.004258
31,8773.92,0.54526,0.84496,1.10356,0.78869,0.67208,0.74799,0.64203,0.5859,0.93404,1.13752,0.00406,0.00406,0.00406
